name,trip_count,route_count,geometry
Kamakya Talkies,785,52,POINT (77.55393 12.92382)
Kamalanagara,357,14,POINT (77.53082 12.99268)
Kamalanagara BEML Layout,55,6,POINT (77.52925 12.9929)
Kamalanagara Market,286,7,POINT (77.53079 12.99608)
Kamalanagara Water Tank,349,12,POINT (77.53992 12.99557)
Kamanahalli,16,6,POINT (77.7961 12.90795)
Kamanahalli Circle,36,10,POINT (77.79268 12.9081)
Kamaraja Road,1,1,POINT (77.61165 12.98424)
Kamarasanahalli,3,2,POINT (77.86155 13.01628)
Kambadakallu,5,3,POINT (77.31117 13.09982)
Kambalipura,51,6,POINT (77.80385 13.13071)
Kambipura,11,3,POINT (77.4618 12.87332)
Kamblipura Cross,50,5,POINT (77.78732 13.13553)
Kamblipura Gate,2,1,POINT (77.82095 13.12782)
Kammagondanahalli Bridge,413,31,POINT (77.53265 13.05454)
Kammagondanahalli Rama Temple,242,24,POINT (77.53068 13.06377)
Kammagonda‌nahalli Bridge,381,21,POINT (77.53475 13.05491)
Kammanahalli,86,12,POINT (77.6364 13.01766)
Kammanahalli Empire Hotel,86,12,POINT (77.63587 13.01475)
Kammasandra,205,29,POINT (77.43939 13.03453)
Kammasandra Gate,59,19,POINT (77.73389 12.87093)
Kammasandra Palya,14,6,POINT (77.43902 13.02985)
Kanaka Nagara,19,2,POINT (77.60736 13.03953)
Kanaka Nagara Gate,47,6,POINT (77.43474 13.13828)
Kanakadasa Circle,6,2,POINT (77.53917 13.28771)
Kanakagiri Horamavu,8,2,POINT (77.6685 13.04132)
Kanakashree Layout Chikka Gubbi,195,50,POINT (77.65474 13.08678)
Kanasawadi,30,13,POINT (77.43147 13.20181)
Kanchugaranahalli,34,3,POINT (77.44624 12.72367)
Kanchugaranahalli Colony,3,1,POINT (77.44081 12.71595)
Kanegowdanahalli,4,2,POINT (77.38466 13.12951)
Kanekallu Cross,1,1,POINT (77.82644 12.99611)
Kangovi PVT LTD Kukkanahalli,1,1,POINT (77.43826 13.15427)
Kanivemadhapura Cross,3,1,POINT (77.58472 12.6959)
Kankenahalli,1,1,POINT (77.26948 13.09924)
Kanminake,215,49,POINT (77.43382 12.86301)
Kanminake Colony,213,48,POINT (77.42896 12.85818)
Kannalli,54,4,POINT (77.45894 12.96755)
Kannamangala,45,5,POINT (77.25509 12.93047)
Kannamangala Gate,642,89,POINT (77.75872 13.03217)
Kannamangala Madhure,3,2,POINT (77.41037 13.19653)
Kannamangalapalya,8,3,POINT (77.66999 13.22171)
Kannamangalapalya Cross,8,3,POINT (77.67045 13.22954)
Kannamangalapalya Gate,8,3,POINT (77.68213 13.22144)
Kannurahalli,14,6,POINT (77.80719 13.05984)
Kannurahalli Cross/Bekary,14,6,POINT (77.79823 13.06918)
Kannurahalli Ittige Factory,10,5,POINT (77.80995 13.05444)
Kannuru,278,63,POINT (77.65432 13.09321)
Kannuru Junction,12,5,POINT (77.65484 13.09264)
Kanshiram Nagara,143,41,POINT (77.53892 13.09064)
Kantaanakunte,4,2,POINT (77.53195 13.33363)
Kantanakunte,14,1,POINT (77.53183 13.33358)
Kanteerava Studio,581,67,POINT (77.53196 13.02175)
Kanuvanahalli,4,2,POINT (77.38619 13.00525)
Kanyakumari,105,7,POINT (77.48253 12.71804)
Kapayana Doddy,3,2,POINT (77.35488 12.77124)
Karadigowdanahalli,2,1,POINT (77.37485 12.75174)
Karahalli,3,2,POINT (77.69202 13.32713)
Karahalli Cross,1,1,POINT (77.68626 13.34875)
Karapanahalli Gate,2,1,POINT (77.87852 13.16714)
Karekal,1,1,POINT (77.82295 12.9932)
Karekal Cross,71,17,POINT (77.37388 12.97391)
Karekallu Doddi,2,1,POINT (77.49497 12.65159)
Karekalpalya,8,5,POINT (77.38651 12.93393)
Karekalpalya Cross,11,7,POINT (77.40351 13.06651)
Karenahalli,34,9,POINT (77.46582 12.78507)
Kari Obanahalli,409,13,POINT (77.48656 13.02495)
Karibeeranahosahalli,4,2,POINT (77.8615 13.03865)
Karibeeranahosahalli Cross,6,3,POINT (77.86469 13.04554)
Karishma Hills,34,5,POINT (77.53622 12.88865)
Karishma Hills Cross,5,1,POINT (77.54129 12.8888)
Kariyanapalya,33,4,POINT (77.52181 12.89276)
Kariyanapalya Cross (80ft Road Junction),109,7,POINT (77.51442 12.89224)
Kariyappana Doddy,12,6,POINT (77.37828 12.78485)
Kariyappanapalya,9,4,POINT (77.38359 12.86166)
Karlapura,2,1,POINT (77.49186 13.20668)
Karlapura Colony,2,1,POINT (77.49129 13.20526)
Karlapura Gate,28,12,POINT (77.49193 13.20017)
Karlapura Gate BIT,5,4,POINT (77.50091 13.20858)
Karnataka High Court Staff Quarters,4,3,POINT (77.65412 12.99494)
Karnataka Slum Board Development Apartment,4,2,POINT (77.67227 12.87595)
Karpura,2,1,POINT (77.72014 12.72699)
Karpura Gate,318,35,POINT (77.70808 12.73588)
Karthik Nagara,1067,66,POINT (77.7017 12.96821)
Karubele,12,5,POINT (77.46639 12.87503)
Kasaba,13,9,POINT (77.54732 13.28268)
Kasaghatta,1,1,POINT (77.38911 13.2685)
Kasaghattapura,4,2,POINT (77.50441 13.11063)
Kasaghattapura Gate,7,5,POINT (77.49735 13.11195)
Kasavanahalli,55,12,POINT (77.67605 12.90489)
Kasavepalya,4,2,POINT (77.37619 12.85345)
Kasthuri Nagara,25,10,POINT (77.6613 13.00247)
Kasthurinagara,1207,98,POINT (77.66313 13.00397)
Kasuvinakunte,2,1,POINT (77.5974 12.76752)
Katamana Doddy,4,3,POINT (77.32231 12.82109)
Katamanallur Gate,701,103,POINT (77.76161 13.05318)
Kateramma Temple Kambalipura,46,3,POINT (77.80047 13.12497)
Kateramma Temple Makanahalli,3,3,POINT (77.82797 13.01236)
Kathriguppe,693,57,POINT (77.54989 12.92535)
Kattalepalya,20,4,POINT (77.46412 12.79698)
Kattigehalli Cross,103,22,POINT (77.62576 13.12176)
Kattigenahalli,7,4,POINT (77.877 13.0236)
Kattigenahalli Colony,2,1,POINT (77.88434 13.02831)
Kattigenahalli Cross,269,27,POINT (77.62558 13.12185)
Kattigenahalli Gate,2,1,POINT (77.88741 13.03737)
Kattu Gollahalli,2,1,POINT (77.73511 13.09588)
Kattu Gollahalli Gate,129,21,POINT (77.74282 13.09438)
Kaval Byrasandra,421,13,POINT (77.60769 13.01974)
Kavala Hosahalli,233,20,POINT (77.70442 12.72589)
Kaveri Nagara,162,14,POINT (77.56931 12.91986)
Kebbahaala,10,6,POINT (77.50347 12.9856)
Kebbedoddi Gate,105,7,POINT (77.48082 12.70297)
Kebbepalya Gate,25,4,POINT (77.51395 13.09008)
Kembaliganahalli Gate,4,2,POINT (77.89922 13.13265)
Kembathahalli,4,1,POINT (77.57793 12.85596)
Kembathahalli 1,4,2,POINT (77.57786 12.85588)
Kembathahalli Cross,8,3,POINT (77.58038 12.85524)
Kempa Vaderahalli,3,1,POINT (77.68825 12.73943)
Kempadyapanahalli,32,11,POINT (77.35426 12.86697)
Kempaiahnagara,162,24,POINT (77.48246 13.10823)
Kempaiahnapalya,4,2,POINT (77.43001 12.72049)
Kempaiahnapalya Cross,35,4,POINT (77.44009 12.73293)
Kempalinganahalli,9,5,POINT (77.37497 13.09462)
Kempalinganahalli Cross,9,5,POINT (77.38107 13.09556)
Kempalingapura,6,2,POINT (77.66548 13.23685)
Kempalingapura Cross,2,1,POINT (77.66461 13.23058)
Kempammadevi Nagara,1,1,POINT (77.42035 13.06498)
Kempapura,1141,113,POINT (77.60121 13.0436)
Kempapura Agarahara,56,2,POINT (77.55465 12.96912)
Kempapura Agarahara Railway Gate,3,1,POINT (77.55925 12.96913)
Kempapura Cross,13,1,POINT (77.59987 13.04979)
Kempashetty Doddy,35,4,POINT (77.43094 12.7411)
Kempashetty Doddy Gate,35,4,POINT (77.42946 12.74384)
Kempathimmanahalli,18,8,POINT (77.65455 13.22322)
Kempathimmanahalli Cross,20,8,POINT (77.65327 13.22256)
Kempegowda Arch,463,52,POINT (77.52556 13.00174)
Kempegowda Bus Station,9416,884,POINT (77.57327 12.97749)
Kempegowda Bus Station(Majestic/KBS),63,16,POINT (77.57389 12.97793)
Kempegowda Garden,19,4,POINT (77.52161 13.07728)
Kempegowda Institute Nursing Hostel,2,1,POINT (77.52969 12.90393)
Kempegowda International Airport,1131,40,POINT (77.70774 13.19916)
Kempegowda International Airport Back Gate,91,7,POINT (77.67987 13.19816)
Kempegowda Swimming Pool,5,4,POINT (77.5592 12.94827)
Kempu Dommasandra,1,1,POINT (77.70796 12.67441)
Kempu Dommasandra Cross,1,1,POINT (77.71006 12.69447)
Kenchanakuppe Colony,5,3,POINT (77.37617 12.78972)
Kenchanapalya,4,3,POINT (77.44412 12.84452)
Kenchanapura,44,2,POINT (77.44968 12.95714)
Kenchanapura Cross,501,50,POINT (77.49352 12.94151)
Kencharayana Doddy,19,4,POINT (77.55612 12.81951)
Kendriya Sadana Koramangala,186,21,POINT (77.62029 12.92596)
Kendriya Vidyalaya,801,49,POINT (77.54415 13.06541)
Kendriya Vidyalaya ASC Center,243,32,POINT (77.61259 12.96676)
Kendriya Vidyalaya DRDO Quarters,2,2,POINT (77.66408 12.98675)
Kendriya Vidyalaya Halasuru (MEGC),2,1,POINT (77.62529 12.9858)
Kendriya Vidyalaya Malleshwara,1,1,POINT (77.56913 13.00907)
Kendriya Vihara,963,161,POINT (77.60161 13.10653)
Kendriya Vihara Yalahanka,5,4,POINT (77.60061 13.10659)
Kengal Kempohalli,21,2,POINT (77.26092 13.20898)
Kenganahalli,7,5,POINT (77.41171 13.05159)
Kengeri,32,7,POINT (77.48543 12.91244)
Kengeri Bus Station,1297,215,POINT (77.48645 12.91406)
Kengeri Church,277,41,POINT (77.48661 12.92826)
Kengeri Club,221,17,POINT (77.47297 12.92355)
Kengeri Ganesha Temple,502,61,POINT (77.48029 12.91126)
Kengeri Metro Station,27,3,POINT (77.47635 12.90763)
Kengeri Police Station,1039,199,POINT (77.48146 12.91007)
Kengeri Post Office,266,42,POINT (77.48182 12.91536)
Kengeri Railway Station,281,44,POINT (77.48243 12.91696)
Kengeri Satellite Town,281,44,POINT (77.48483 12.92351)
Kengunte Circle,668,70,POINT (77.50441 12.96045)
Kenjiganahalli,1,1,POINT (77.39991 13.17731)
Kere Devasthana,23,6,POINT (77.78587 12.87356)
Kere Guddadahalli,327,20,POINT (77.51612 13.07908)
Kere Kattiganuru,23,3,POINT (77.28202 13.18771)
Kerekodi Junction,3,2,POINT (77.42803 12.96017)
Kerekodi Sondekoppa,110,16,POINT (77.38421 13.01891)
Kerekodi Thyamagondlu,29,4,POINT (77.30956 13.21465)
Kesaraguppe,20,5,POINT (77.56701 12.81662)
Kethaganahalli,7,2,POINT (77.39041 12.81349)
Kethohalli,110,32,POINT (77.40347 12.90729)
Khaji Hosahalli,8,5,POINT (77.86588 13.00843)
Khaji Sonnenahalli,9,3,POINT (77.77007 13.03343)
Khaji Sonnenahalli Gate,238,36,POINT (77.75898 13.03461)
Kidwai Layout,25,6,POINT (77.56316 12.85885)
Kirloskar Badavane,4,2,POINT (77.5001 13.0674)
Kirloskar Company,127,3,POINT (77.55994 13.0145)
Kirloskar Factory,29,4,POINT (77.32278 13.17776)
Kithiganahalli,18,5,POINT (77.69049 12.80094)
Kittaganuru,29,6,POINT (77.71055 13.03733)
Kittaganuru Cross,18,6,POINT (77.7089 13.03624)
Kittanahalli,36,10,POINT (77.42174 13.0093)
Kittanahalli Palya,2,1,POINT (77.41344 13.00979)
KodIhalli,2,2,POINT (77.8986 12.92808)
Kodagalahatti,17,5,POINT (77.62909 13.14317)
Kodagi Bommanahalli,1,1,POINT (77.27211 13.13038)
Kodahalli Gate,7,5,POINT (77.90743 12.92808)
Kodalagurki,3,2,POINT (77.70112 13.29925)
Kodalipura,3,1,POINT (77.75703 12.74569)
Kodandarama Temple,50,6,POINT (77.56089 13.00155)
Kodandaramanagara,9,2,POINT (77.68479 12.89948)
Kodathi Gate,550,61,POINT (77.72037 12.8966)
Kodathi Village,13,5,POINT (77.71635 12.88828)
Kodays Circle,14,7,POINT (77.57151 12.98022)
Kodi Basavanna Temple Banawadi,2,2,POINT (77.26091 13.11281)
Kodichikkanahalli,6,2,POINT (77.61804 12.89826)
Kodigehalli,146,25,POINT (77.57697 13.05979)
Kodigehalli Canara Bank Colony,8,6,POINT (77.57645 13.07138)
Kodigehalli Gate,1598,256,POINT (77.72327 13.00356)
Kodihalli,1007,162,POINT (77.81233 13.01802)
Kodihalli Motaganahalli,2,2,POINT (77.29779 13.02424)
Kodimanchanahalli Gate,64,10,POINT (77.6989 13.2578)
Kodipalya,166,50,POINT (77.44745 12.75076)
Kodipalya Cross T Begur,1,1,POINT (77.29835 13.1624)
Kodiyala,29,6,POINT (77.45284 12.78258)
Koduru,1,1,POINT (77.89357 12.9421)
Kogilu,449,52,POINT (77.61576 13.10368)
Kogilu Cross,2445,248,POINT (77.60084 13.10398)
Kohinoor Ground,213,19,POINT (77.56628 12.94732)
Kolathuru,3,1,POINT (77.8296 13.07541)
Kolathuru Gate,27,10,POINT (77.82489 13.07484)
Koli Farm,401,57,POINT (77.63376 13.07404)
Koli Farm Gate,682,104,POINT (77.58845 12.84146)
Kolipura,9,4,POINT (77.65723 13.1694)
Kolliganahalli,5,3,POINT (77.40702 12.71083)
Koluru,15,6,POINT (77.41328 12.89145)
Koluvarayanahalli,9,6,POINT (77.52179 13.16501)
Kommaghatta,147,9,POINT (77.46513 12.92994)
Kommaghatta Junction,502,61,POINT (77.48149 12.91448)
Kommasandra,1,1,POINT (77.74405 12.86132)
Konanakunte,395,43,POINT (77.56663 12.88613)
Konanakunte Cross,837,136,POINT (77.56365 12.88952)
Konanakunte Cross  Metro Station,403,93,POINT (77.56257 12.8889)
Konanakunte Reliance Fresh,226,13,POINT (77.56613 12.88295)
Konappana Agarhara,1433,160,POINT (77.66411 12.85577)
Konappana Agarhara Flyover,20,3,POINT (77.6648 12.85563)
Konappana Agrahara,113,3,POINT (77.66437 12.85607)
Konappana Agrahara Flyover,57,6,POINT (77.66721 12.85236)
Konasandra,27,9,POINT (77.48572 12.8895)
Konasandra Cross,74,18,POINT (77.63551 12.76429)
Kondashettyhalli,5,2,POINT (77.514 13.1264)
Kondenahalli,1,1,POINT (77.73712 13.15519)
Kondenahalli Gate,42,4,POINT (77.73007 13.15551)
Konena Agrahara,825,115,POINT (77.65962 12.95914)
Kongovi PVT LTD Peenya,4,4,POINT (77.51101 13.0215)
Koppa,28,4,POINT (77.62647 12.8044)
Koppa Gate,281,50,POINT (77.61613 12.79644)
Koraluru,35,16,POINT (77.78411 12.99789)
Koraluru Railway Gate,35,16,POINT (77.78371 12.99608)
Koramangala 1st Block,489,61,POINT (77.63458 12.9249)
Koramangala Bus Station,439,51,POINT (77.62482 12.94061)
Koramangala Forum Mall,207,12,POINT (77.61195 12.93486)
Koramangala Police Station,211,17,POINT (77.62179 12.94172)
Koramangala Water Tank,1234,183,POINT (77.62075 12.92753)
Koratagere  Doddy,4,2,POINT (77.57039 12.72938)
Koratagere Doddy,9,4,POINT (77.57047 12.72935)
KoratagereDoddy Bannerughatta,3,2,POINT (77.58318 12.73267)
Koshys Hospital Kalkere,74,13,POINT (77.67701 13.02067)
Kotalammana Devasthana,3,2,POINT (77.69423 13.31922)
Kothaganahalli,2,1,POINT (77.28453 13.01189)
Kothanuru,298,65,POINT (77.64893 13.06182)
Kothanuru Dinne Ganesha Temple,361,21,POINT (77.58395 12.87705)
Kothanuru Hari Nagara,21,5,POINT (77.5772 12.87655)
Kotiganahalli,6,2,POINT (77.76852 12.83635)
Kottanayakana halli,40,7,POINT (77.68262 12.81302)
Kottigepalya,1460,191,POINT (77.51509 12.98787)
Kotur,10,3,POINT (77.78267 12.94532)
Kotur Gate,35,9,POINT (77.77562 12.94765)
Koyira,4,2,POINT (77.64107 13.30346)
Kranthiveera Sangolli Rayanna Railway Station,7,2,POINT (77.56986 12.97849)
Krishna Garden BHEL Layout,7,2,POINT (77.50703 12.9131)
Krishnananda Nagara,154,19,POINT (77.54135 13.01812)
Krishnaraja Pura Govt Hospital,1435,148,POINT (77.69271 13.00798)
Krishnasagara,117,11,POINT (77.55565 12.932)
Krishnayyana Doddy,8,4,POINT (77.61165 12.75264)
Krishnayyana Palya NGEF,11,9,POINT (77.65163 12.99212)
Kristu Jayanti College,40,10,POINT (77.64293 13.05877)
Krupanidhi College,757,112,POINT (77.62852 12.92388)
Krupanidhi College Gunjur Road,18,4,POINT (77.72356 12.91556)
Kudlu,7,5,POINT (77.65506 12.88957)
Kudlu Gate,1275,160,POINT (77.63969 12.88985)
Kudlu Gate Flyover,185,13,POINT (77.63953 12.88972)
Kudlu Panchayath Office,24,12,POINT (77.64904 12.88965)
Kudlu Slum Board,2,2,POINT (77.65635 12.88957)
Kudure Mukha Colony,1043,159,POINT (77.62563 12.92553)
Kuduregere Colony,10,5,POINT (77.60855 13.188)
Kuduregere Cross,5,2,POINT (77.60575 13.16722)
Kuduregere Gate,3,2,POINT (77.60057 13.18972)
Kuduregere Madanayakanahalli,13,5,POINT (77.47248 13.07586)
Kudurugere Colony,34,5,POINT (77.47611 13.06817)
Kuguru,7,3,POINT (77.80969 12.9092)
Kuguru Gate,13,5,POINT (77.80842 12.89972)
Kullappa Circle,33,5,POINT (77.63956 13.01405)
Kullegowdanapalya,1,1,POINT (77.44698 12.84672)
Kullegowdanapalya 1,2,1,POINT (77.44701 12.84667)
Kullegowdanapalya Cross,3,2,POINT (77.44866 12.84985)
Kulumepalya,2,1,POINT (77.55304 12.83263)
Kuluvanahalli Tumakur Road,24,4,POINT (77.29908 13.17583)
Kumaraswamy Layout,107,15,POINT (77.56165 12.90313)
Kumaraswamy Layout 2nd Stage,35,3,POINT (77.55814 12.90584)
Kumaraswamy Layout Police Station,106,14,POINT (77.56264 12.90514)
Kumaraswamy Layout West,18,2,POINT (77.55475 12.90336)
Kumbalagodu,304,75,POINT (77.4455 12.87826)
Kumbalagunte Cross,11,6,POINT (77.45822 13.20124)
Kumbalahalli,3,1,POINT (77.79366 13.09187)
Kumbara Doddy,2,1,POINT (77.31781 12.79431)
Kumbarahalli,7,4,POINT (77.49165 13.10509)
Kumbarahalli Cross,24,13,POINT (77.49397 13.09669)
Kumbaranahalli,127,10,POINT (77.66047 12.74786)
Kundalahalli,780,33,POINT (77.71566 12.95832)
Kundalahalli Colony,780,33,POINT (77.71248 12.97022)
Kundalahalli Gate,1416,116,POINT (77.71378 12.95592)
Kundalahalli Metro Station,777,32,POINT (77.71632 12.97753)
Kundalapura,15,6,POINT (77.41533 12.89512)
Kundana,8,2,POINT (77.62824 13.25735)
Kundana Circle,10,4,POINT (77.61716 13.25708)
Kundana Cross,11,5,POINT (77.64966 13.25465)
Kuppa SiddanaDoddy,3,1,POINT (77.60288 12.73528)
Kuppareddy Kere,326,71,POINT (77.5177 12.84267)
Kuppemala,5,3,POINT (77.2997 13.10568)
Kurubara Karenahalli,10,5,POINT (77.38332 12.85443)
Kurubarahalli,298,9,POINT (77.53588 13.00084)
Kurubarahalli Cross,103,26,POINT (77.51956 13.12672)
Kurubarahalli Gate,2,1,POINT (77.81119 13.09779)
Kurubarakunte Cross (Narsari),106,9,POINT (77.74152 13.26681)
Kurubarapalya,26,8,POINT (77.36276 12.91143)
Kurubarapalya Cross,32,13,POINT (77.36738 12.91395)
Kurudu Sonnenahalli,3,1,POINT (77.73228 13.0141)
Kurudu Sonnenahalli Cross,9,3,POINT (77.72094 13.02057)
Kuthaganahalli,9,3,POINT (77.80211 12.88902)
Kuthaganahalli Cross,23,6,POINT (77.7905 12.89754)
Kuvempu Circle,1186,119,POINT (77.56263 13.04465)
Kuvempu Circle 1,143,10,POINT (77.56131 13.04319)
Kuvempunagara,41,11,POINT (77.54138 13.0696)
Kuvempunagara ( BTM Layout),510,34,POINT (77.61591 12.91637)
Kuvempunagara Bus Station(BTM Layout),591,31,POINT (77.61623 12.91597)
Kuvempunagara Bus station (BTM Layout),182,8,POINT (77.61575 12.91608)
Kyalasanahalli,82,14,POINT (77.66027 13.05644)
Kyalasanahalli Cross,5,1,POINT (77.65165 12.80304)
L and T Factory Doddaballapura,54,4,POINT (77.57003 13.29211)
LAKE VIEW appartment near beedi colony,1,1,POINT (77.47585 12.92189)
LG Godown,19,6,POINT (77.51126 12.91715)
LR Bande,4,1,POINT (77.61058 13.02899)
LTG Aishwarya,27,5,POINT (77.44675 12.78796)
LTG Indraprastha,27,5,POINT (77.44921 12.78542)
Laggere Bridge,463,52,POINT (77.52664 13.00843)
Laggere Cross,343,27,POINT (77.52336 13.02265)
Laggere New Bus Stand,201,17,POINT (77.52504 13.01054)
Lagumenahalli Circle,4,2,POINT (77.75427 13.07218)
Lagumenahalli Cross,16,2,POINT (77.53495 13.40432)
Lake Side Hospital,1,1,POINT (77.61736 12.98833)
Lakeshore Garden,17,6,POINT (77.56477 13.06987)
Lakkaiahana Doddy,1,1,POINT (77.3351 12.77912)
Lakkaiahnapalya,13,5,POINT (77.40252 12.88936)
Lakkaiahnapalya 1,2,1,POINT (77.40469 12.88751)
Lakkasandra,1903,255,POINT (77.59713 12.94383)
Lakkasandra Cross T Beguru,1,1,POINT (77.2905 13.14984)
Lakkenahalli Cross,1,1,POINT (77.29674 13.062)
Lakkenahalli Junction Sondekoppa Road,102,13,POINT (77.39278 13.04468)
Lakkondahalli,3,1,POINT (77.77041 13.11767)
Lakkondahalli Gate,194,18,POINT (77.77346 13.11721)
Lakkondahalli Temple,194,18,POINT (77.77428 13.11071)
Lakkuppe,228,55,POINT (77.41006 12.96992)
Lakkur,17,10,POINT (77.88596 12.92756)
Lakshman Rao Nagara Anepalya,11,1,POINT (77.61751 12.9504)
Lakshmi Devastana,106,15,POINT (77.39278 13.07832)
Lakshmi Layout,5,1,POINT (77.62803 12.86814)
Lakshmi Temple,35,4,POINT (77.49841 12.88637)
Lakshmi Venkateshwara Temple,284,26,POINT (77.55741 13.07441)
Lakshmidevi Nagara,12,6,POINT (77.52607 13.0155)
Lakshmidevi Nagara Cross,12,5,POINT (77.52651 13.02129)
Lakshmipura,598,128,POINT (77.53108 13.08778)
Lakshmipura Cross,138,40,POINT (77.5334 13.09212)
Lakshmipura Kalkere,5,1,POINT (77.59168 12.81022)
Lakshmisagara,12,5,POINT (77.4043 12.82479)
Lal Bahaddur Shastri Nagara,8,3,POINT (77.57356 12.85723)
Lalbagh Hopcoms,1295,174,POINT (77.59079 12.95184)
Lalbagh Main Gate,1441,188,POINT (77.58336 12.95251)
Lalbagh Metro Station,141,13,POINT (77.57999 12.94705)
Lalbagh West Gate,295,30,POINT (77.57966 12.94838)
Lalbagh West Gate (Lalbagh Metro Station),357,25,POINT (77.58009 12.94758)
Lavanya Talkies,14,2,POINT (77.61551 12.98601)
Leelavathi Estate,2,2,POINT (77.34992 13.00087)
Lido Talkies,689,134,POINT (77.62005 12.97346)
Life Style (Sacred Heart School),530,66,POINT (77.61018 12.96692)
Lingadeera Mallsandra,2,2,POINT (77.87117 12.97917)
Lingadeera Mallsandra Cross,5,5,POINT (77.87114 12.98353)
Lingadeeranahalli,53,6,POINT (77.479 12.99895)
Linganahalli,4,3,POINT (77.523 13.15623)
Linganahalli Gate,8,4,POINT (77.52395 13.15813)
Lingapura,25,7,POINT (77.67852 12.76222)
Lingarajapura,332,88,POINT (77.53385 13.12689)
Lingarajapura Bridge,329,87,POINT (77.6232 13.00906)
Lingenahalli,6,6,POINT (77.32488 13.06543)
Link Road,819,89,POINT (77.57388 12.99426)
Lohithanagara (Nelamangala),1,1,POINT (77.38233 13.10713)
Lottegollahalli,5,1,POINT (77.56752 13.04961)
Loyola School,572,94,POINT (77.59337 12.87108)
Lurdubayi Samudaya Bhavana,479,55,POINT (77.52339 12.99723)
M E S College Aradeshanahalli Road,5,5,POINT (77.55539 13.21752)
M Gopahalli,6,4,POINT (77.40248 12.72589)
M Hosahalli Gate,5,3,POINT (77.87758 13.1094)
M Karenahalli,15,7,POINT (77.36575 12.81818)
M Medahalli,2,1,POINT (77.73928 12.73392)
M S Nagara (Thirumenahalli ),63,7,POINT (77.63592 13.09731)
M Sathyawara,4,2,POINT (77.79809 13.14397)
MC Donald,292,4,POINT (77.63752 12.91237)
MC Layout,154,9,POINT (77.54212 12.97498)
MD Block,103,2,POINT (77.56954 12.99324)
MEG Centre,55,7,POINT (77.62255 12.98701)
MEG Centre (KIA),17,1,POINT (77.6172 12.98847)
MEI Colony Laggere,291,18,POINT (77.52075 13.01998)
MEI Factory,1326,178,POINT (77.54439 13.02652)
MEI Layout,1,1,POINT (77.49943 13.06099)
MEI Layout Arch,310,39,POINT (77.50685 13.05997)
MEKHRI CIRCLE,160,16,POINT (77.58388 13.01649)
MES College Aradeshanahalli Road,8,5,POINT (77.55532 13.21752)
MES Road,397,41,POINT (77.5543 13.04403)
MG Road,317,26,POINT (77.60204 12.97779)
MG Road Electric B Station,161,37,POINT (77.61279 12.97403)
MG Road Metro Station,255,25,POINT (77.60644 12.97541)
MG Statue (Chinnaswamy Stadium),546,53,POINT (77.59859 12.97628)
MGM School,128,41,POINT (77.43267 12.89771)
MICO Factory Junction,188,13,POINT (77.60309 12.94442)
MICO Gate Adugodi,183,10,POINT (77.60532 12.94399)
MICO Layout BTM,1207,76,POINT (77.60427 12.91657)
MICO Layout Checkpost Gopalan mall,676,90,POINT (77.60001 12.91414)
MICO Shramajeevi Colony Arakere,4,1,POINT (77.59391 12.88958)
MM Industries,136,13,POINT (77.57365 12.9295)
MM Medicals,20,3,POINT (77.60839 13.0314)
MN Krishna Rao Park,167,19,POINT (77.57689 12.94405)
MR Nursing College,282,63,POINT (77.64875 13.05824)
MRB Grand Hotel,81,4,POINT (77.51601 12.88835)
MRV Bricks Factory,4,2,POINT (77.46456 12.80496)
MS Building,120,36,POINT (77.58922 12.97677)
MS Palya,1022,81,POINT (77.54809 13.08178)
MS Ramaiah College,1004,102,POINT (77.56159 13.02871)
MS Ramaiah Hospital,421,19,POINT (77.57162 13.02771)
MS Ramayya Hospital,156,2,POINT (77.57141 13.02847)
MTR Hotel,146,2,POINT (77.64485 12.91703)
MV Solar Dabasapete Industrial Area,19,2,POINT (77.25859 13.22459)
MVJ College Channasandra,423,99,POINT (77.76082 12.98283)
MVJ Medical Hospital,39,12,POINT (77.81229 13.07909)
Machenahalli Dabaspete,2,1,POINT (77.25553 13.18015)
Machohalli,9,3,POINT (77.45287 13.00614)
Machohalli Colony,9,3,POINT (77.4513 12.99755)
Machohalli Gate,589,90,POINT (77.45445 12.99081)
Madagondanahalli,10,5,POINT (77.47193 13.24471)
Madanayakanahalli,805,118,POINT (77.46102 13.06146)
Madapatna,163,22,POINT (77.64815 12.77262)
Madapatna Cross,11,3,POINT (77.37286 12.93681)
Madappanahalli,18,7,POINT (77.54059 13.15405)
Madappanahalli Cross,37,9,POINT (77.79606 12.91784)
Madapura,2,1,POINT (77.32076 12.7654)
Madapura Cross Bidadi,2,1,POINT (77.32802 12.76177)
Madarasa School,3,1,POINT (77.45935 12.88054)
Madarasa School 1,8,2,POINT (77.45942 12.88017)
Madavara,421,64,POINT (77.47343 13.05665)
Madavara NICE Road,427,44,POINT (77.4741 13.05684)
Madavara Village,3,2,POINT (77.47231 13.05296)
Madhavan Park,619,49,POINT (77.58308 12.93675)
Madhugirihalli,4,2,POINT (77.50725 13.12789)
Madhura Nagara,61,17,POINT (77.76421 12.94117)
Madhura Nagara Hostel,61,17,POINT (77.76027 12.9398)
Madhure Village,23,13,POINT (77.45699 13.20216)
Madivala,1406,190,POINT (77.62146 12.92166)
Madivala Masidi,187,22,POINT (77.61855 12.92482)
Madugirihalli,1,1,POINT (77.50724 13.12793)
Magadi,52,9,POINT (77.22693 12.95484)
