name,trip_count,route_count,geometry
Austin Town,320,21,POINT (77.61456 12.96153)
Austin Town Neelasandra,97,7,POINT (77.61254 12.9616)
Auto Gas/Royal School,221,17,POINT (77.58585 12.90133)
Avadadenahalli Gate,240,24,POINT (77.70779 12.74668)
Avalahalli,604,104,POINT (77.56657 12.87276)
Avalahalli BDA Layout,47,10,POINT (77.56118 12.87222)
Avalahalli BDA Park Girinagara,56,6,POINT (77.54311 12.94328)
Avalahalli Electronic City,4,3,POINT (77.71163 12.86957)
Avalahalli Hosakote,604,97,POINT (77.73531 13.03591)
Avalahalli New BDA Layout,10,2,POINT (77.53685 12.94341)
Avalakuppe Cross,2,2,POINT (77.34843 13.02384)
Avaragere,2,1,POINT (77.38086 12.82007)
Avaragere Cross,17,8,POINT (77.37782 12.80957)
Avasarala Factory Kanakapura Road,7,4,POINT (77.49265 12.78204)
Avathi,9,4,POINT (77.72579 13.29638)
Averahalli,5,1,POINT (77.41612 13.03503)
Averahalli Cross,17,9,POINT (77.42186 13.03337)
Avinash Petrol Bunk,103,7,POINT (77.58862 12.99045)
Ayurvedic Hospital Bodhanahosahalli,19,8,POINT (77.8004 12.96969)
Ayyappa Nagara  Sadaramangala,13,3,POINT (77.70997 13.00426)
Ayyappa Nagara Muneshwara Temple Sadaramangala,24,5,POINT (77.7124 13.00451)
Ayyappa Nagara Sadaramangala,11,2,POINT (77.71002 13.00431)
Ayyappa School Kereguddadahalli,4,1,POINT (77.517 13.07468)
Ayyappa Temple Jalahalli Cross,574,33,POINT (77.52231 13.0461)
Ayyappa Temple Yashawanthapura,989,100,POINT (77.56316 13.02159)
Ayyappaswamy Temple Madivala,474,41,POINT (77.61791 12.92478)
Aziz Palya,3,1,POINT (77.36696 13.02712)
B Channasandra,28,9,POINT (77.6575 13.01006)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),1883,141,POINT (77.66272 13.01318)
B Hosur Circle,5,2,POINT (77.4482 12.74247)
B Krishnappa Nagara,1,1,POINT (77.40872 12.99714)
B Marenahalli,57,7,POINT (77.73952 13.17023)
B Nagasandra,7,1,POINT (77.65363 12.94368)
