name,trip_count,route_count,id,geometry
Mantri Layout (M L A LAYOUT),37,14,442,POINT (77.44776 13.08449)
Mantri Layout (M L A LAYOUT),31,12,4wm,POINT (77.4478 13.08448)
Manuvana,486,34,456,POINT (77.54656 12.97401)
Manuvana,388,28,4ig,POINT (77.54454 12.97431)
Manyatha Tech Park,595,44,3fx,POINT (77.62095 13.0412)
Manyatha Tech Park,506,56,5f5,POINT (77.61995 13.04109)
Maragondanahalli,5,1,4ze,POINT (77.693 13.03735)
Maragondanahalli,5,1,5b2,POINT (77.69297 13.0372)
Maragondanahalli,1,1,65j,POINT (77.5762 13.20293)
Maragondanahalli,1,1,6cz,POINT (77.57638 13.20304)
Maragondanahalli Cross,49,2,1ih,POINT (77.4314 12.93493)
Maragondanahalli Cross,54,5,2ko,POINT (77.4314 12.93485)
Maralakunte,34,6,56v,POINT (77.70593 13.13225)
Maralakunte,6,4,5rp,POINT (77.70526 13.13241)
Maralakunte Colony,2,1,xt,POINT (77.70565 13.12943)
Maralugondla Cross,33,7,4wc,POINT (77.27149 12.94747)
Maralugondla Cross,15,2,5pg,POINT (77.27127 12.94737)
Maramma Temple,61,4,2g2,POINT (77.55872 12.96291)
Maramma Temple,100,5,3lr,POINT (77.55906 12.96314)
Maramma Temple Halage Vaderahalli,51,8,12w,POINT (77.51452 12.92288)
Maramma Temple Halage Vaderahalli,65,2,qx,POINT (77.51435 12.92268)
Maramma Temple Hegganahalli,72,4,zc,POINT (77.5043 12.99462)
Maranagere,4,2,2hx,POINT (77.8522 12.88233)
Maranayakanahalli,10,2,e1,POINT (77.64832 13.16801)
Marappa Garden,8,2,6aw,POINT (77.59974 13.00439)
Marasandra,3,3,12d,POINT (77.87469 12.98074)
Marasandra,39,8,3az,POINT (77.71519 13.09967)
Marasandra,3,2,59h,POINT (77.71512 13.09962)
Marasandra Circle,96,12,1b8,POINT (77.54963 13.22269)
Marasandra Circle,150,18,29h,POINT (77.54973 13.22281)
Marasandra Gate,2,2,448,POINT (77.87375 12.98431)
Marasandra Gate,4,3,4ex,POINT (77.54935 13.22273)
Marasandra Gate,2,2,5fi,POINT (77.87381 12.98446)
Marasandra Govt School,135,10,1mi,POINT (77.55027 13.23113)
Marasandra Govt School,96,12,ay,POINT (77.55013 13.23098)
Marasur Gate,134,19,5r9,POINT (77.70145 12.76983)
Marasur Madivala,2,1,4ps,POINT (77.72852 12.77344)
Marasur Madivala,2,1,a7,POINT (77.7231 12.76156)
Marathahalli,367,33,1zo,POINT (77.69372 12.95611)
Marathahalli,523,77,20a,POINT (77.69409 12.95626)
Marathahalli Bridge,770,76,11o,POINT (77.70215 12.9569)
Marathahalli Bridge,367,33,2gv,POINT (77.70062 12.95694)
Marathahalli Bridge,19,4,2t,POINT (77.70096 12.95715)
Marathahalli Bridge,249,9,331,POINT (77.70131 12.95671)
Marathahalli Bridge,193,6,34p,POINT (77.70053 12.95488)
MaregowdanaDoddy,3,1,365,POINT (77.28026 12.8878)
Marenahalli,22,4,1bn,POINT (77.36164 12.97325)
Marenahalli,4,2,2vp,POINT (77.53215 12.96993)
Marenahalli,4,2,336,POINT (77.67866 13.11958)
Marenahalli,43,10,36p,POINT (77.36187 12.9733)
Marenahalli,195,15,3qu,POINT (77.58588 12.9149)
Marenahalli,27,8,3vr,POINT (77.67868 13.11959)
Marenahalli,204,9,59f,POINT (77.58575 12.91552)
Marenahalli (Marenahalli Metro Station),432,27,28d,POINT (77.58947 12.91715)
Marenahalli (Marenahalli Metro Station),555,29,2ei,POINT (77.58858 12.91688)
Marenahalli Gate,28,9,3eq,POINT (77.67031 13.13318)
Marenahalli Gate,3,1,57d,POINT (77.67029 13.13315)
Marigowdanapalya,3,3,1rl,POINT (77.31507 13.04172)
Marigowdanapalya,2,2,2kf,POINT (77.31512 13.04168)
Marikuppe Cross,2,2,3lo,POINT (77.2941 13.02526)
Marison Factory,357,64,1my,POINT (77.49252 13.0502)
Marison Factory,372,46,5l0,POINT (77.49285 13.05049)
Mariyannanapalya,1,1,4qe,POINT (77.61186 13.04928)
Mariyannanapalya,4,2,5nz,POINT (77.61187 13.04932)
Mariyappanapalya,518,29,1n,POINT (77.55574 12.99858)
Mariyappanapalya,487,22,3sl,POINT (77.55652 12.99862)
Mariyappanapalya,255,24,4j3,POINT (77.49545 12.94515)
Mariyappanapalya,247,27,5cv,POINT (77.4954 12.94527)
Marnami Doddy,15,4,395,POINT (77.45917 12.78711)
Marnami Doddy,14,2,57m,POINT (77.45908 12.78714)
Marsuru,2,2,23w,POINT (77.71376 12.76198)
Marsuru,13,5,m5,POINT (77.71383 12.76198)
Marsuru Gate,128,16,4es,POINT (77.70141 12.76964)
Marsuru Madivala,4,2,61z,POINT (77.72861 12.77345)
Maruru,1,1,3xm,POINT (77.16141 13.067)
Maruru Handpost,1,1,2to,POINT (77.15954 13.05814)
Maruthi Badavane,36,4,2fa,POINT (77.58055 12.83994)
Maruthi Badavane,10,5,516,POINT (77.58062 12.84005)
Maruthi Badavane Dasarahalli,8,2,gv,POINT (77.60782 13.05543)
Maruthi Circle,394,28,3xs,POINT (77.55851 12.94348)
Maruthi Mandira,590,40,3qi,POINT (77.53637 12.96785)
Maruthi Mandira,579,37,5jv,POINT (77.53615 12.96779)
Maruthi Markandeyanagara,2,1,6dp,POINT (77.50847 13.00109)
Maruthi Nagara,243,23,2eb,POINT (77.49394 12.98975)
Maruthi Nagara,38,5,2ws,POINT (77.65766 12.7914)
Maruthi Nagara,175,18,2x8,POINT (77.52189 12.96176)
Maruthi Nagara,101,9,2zd,POINT (77.65788 12.79194)
Maruthi Nagara,4,1,30x,POINT (77.49398 12.98967)
Maruthi Nagara,62,3,3aw,POINT (77.47944 12.93983)
Maruthi Nagara,1,1,3bj,POINT (77.47956 12.93992)
Maruthi Nagara,185,20,3os,POINT (77.5217 12.96178)
Maruthi Nagara,185,26,3p1,POINT (77.6064 13.10445)
Maruthi Nagara,264,26,640,POINT (77.60657 13.10437)
Maruthi Nagara,67,7,68l,POINT (77.58102 13.0589)
Maruthi Nagara,50,10,wh,POINT (77.58107 13.05886)
Maruthi School,39,9,1rp,POINT (77.64327 13.00957)
Maruthi School,34,7,3ws,POINT (77.64318 13.00948)
Maruthi School,3,2,4lb,POINT (77.57587 12.88128)
Maruthi School,5,2,64a,POINT (77.5758 12.88121)
Maruthi School,236,14,8g,POINT (77.64409 13.00987)
Maruthi School,225,15,dj,POINT (77.64413 13.00961)
Maruthi Sevanagara,454,29,4hi,POINT (77.63435 13.00241)
Maruthi Sevanagara,532,30,z1,POINT (77.63467 13.00273)
Maruthi Temple Kamalanagara,138,2,1t,POINT (77.53545 12.99497)
Maruthi Temple Kamalanagara,141,3,5jp,POINT (77.53549 12.99492)
Maruthinagara Malleshpalya,38,8,4al,POINT (77.67492 12.9734)
Maruthinagara Malleshpalya,47,8,53e,POINT (77.67506 12.97334)
Mary Immaculate School,137,23,488,POINT (77.66795 13.12589)
